# Target Sample Rate: 500 Hz
time,gFx,gFy,gFz,TgF
0.003228,-0.0279,0.3594,0.9792,1.04
0.004931,-0.0296,0.3589,0.9704,1.04
0.005054,-0.0318,0.3560,0.9626,1.03
0.020484,-0.0347,0.3562,0.9523,1.02
0.024404,-0.0247,0.3801,0.9213,1.00
0.025199,-0.0181,0.3858,0.9210,1.00
0.028278,-0.0139,0.3906,0.9218,1.00
0.029108,-0.0110,0.3919,0.9218,1.00
0.044880,-0.0088,0.3936,0.9242,1.00
0.047068,0.0259,0.3977,0.9354,1.02
0.048746,0.0288,0.3972,0.9357,1.02
0.064630,0.0313,0.3990,0.9352,1.02
0.085444,0.0193,0.3919,0.9213,1.00
0.105371,-0.0129,0.3833,0.9191,1.00
0.125571,-0.0203,0.3762,0.9289,1.00
0.145516,-0.0149,0.3674,0.9176,0.99
0.166800,-0.0188,0.3633,0.9098,0.98
0.187550,-0.0193,0.3618,0.9183,0.99
0.207882,-0.0161,0.3655,0.9464,1.01
0.227964,-0.0176,0.3586,0.9508,1.02
0.248480,-0.0095,0.3535,0.9445,1.01
0.269320,-0.0034,0.3638,0.9518,1.02
0.289563,0.0022,0.3567,0.9499,1.01
0.309896,0.0081,0.3674,0.9572,1.03
0.330122,0.0027,0.3682,0.9430,1.01
0.350826,0.0010,0.3696,0.9296,1.00
0.371313,0.0125,0.3718,0.9340,1.01
0.391708,0.0159,0.3797,0.9181,0.99
0.411849,0.0178,0.3767,0.9225,1.00
0.432053,0.0083,0.3726,0.9291,1.00
0.439943,-0.0029,0.3691,0.9384,1.01
0.442698,-0.0020,0.3689,0.9394,1.01
0.446757,-0.0056,0.3674,0.9406,1.01
0.447531,-0.0061,0.3684,0.9401,1.01
0.460109,-0.0037,0.3689,0.9394,1.01
0.462546,-0.0059,0.3716,0.9401,1.01
0.480759,-0.0051,0.3731,0.9398,1.01
0.501246,-0.0100,0.3682,0.9394,1.01
0.503286,-0.0120,0.3657,0.9452,1.01
0.507195,-0.0103,0.3660,0.9484,1.02
0.508649,-0.0081,0.3655,0.9508,1.02
0.511681,-0.0081,0.3647,0.9535,1.02
0.512914,-0.0088,0.3652,0.9538,1.02
0.515865,-0.0098,0.3665,0.9579,1.03
0.524179,-0.0086,0.3674,0.9616,1.03
0.528232,-0.0105,0.3677,0.9694,1.04
0.529186,-0.0112,0.3669,0.9694,1.04
0.545095,-0.0093,0.3657,0.9697,1.04
0.549805,-0.0115,0.3650,0.9594,1.03
0.566599,-0.0120,0.3655,0.9567,1.02
0.569268,-0.0127,0.3682,0.9413,1.01
0.573114,-0.0107,0.3674,0.9394,1.01
0.574453,-0.0115,0.3674,0.9389,1.01
0.577328,-0.0117,0.3672,0.9389,1.01
0.578422,-0.0107,0.3679,0.9396,1.01
0.582555,-0.0098,0.3674,0.9398,1.01
0.589089,-0.0105,0.3691,0.9398,1.01
0.593860,-0.0044,0.3701,0.9428,1.01
0.595118,-0.0022,0.3701,0.9442,1.01
0.597765,-0.0017,0.3704,0.9457,1.02
0.598988,0.0005,0.3687,0.9484,1.02
0.610332,0.0037,0.3684,0.9482,1.02
0.614420,0.0088,0.3701,0.9508,1.02
0.630131,0.0083,0.3713,0.9499,1.02
0.635532,0.0088,0.3709,0.9423,1.01
0.635657,0.0098,0.3691,0.9391,1.01
0.650438,0.0078,0.3706,0.9354,1.01
0.671154,0.0095,0.3701,0.9227,0.99
0.692150,0.0081,0.3718,0.9230,1.00
0.713029,0.0122,0.3794,0.9367,1.01
0.734359,0.0137,0.3689,0.9345,1.00
0.756480,0.0068,0.3701,0.9330,1.00
0.780524,0.0073,0.3667,0.9469,1.02
0.783826,0.0095,0.3645,0.9474,1.02
0.803028,0.0100,0.3643,0.9460,1.01
0.818431,0.0012,0.3687,0.9267,1.00
0.825854,0.0032,0.3657,0.9284,1.00
0.828821,0.0105,0.3630,0.9337,1.00
0.831388,0.0090,0.3618,0.9372,1.00
0.847223,0.0086,0.3640,0.9386,1.01
0.868539,0.0090,0.3694,0.9428,1.01
0.889269,-0.0037,0.3689,0.9201,0.99
0.909941,-0.0012,0.3711,0.9257,1.00
0.930501,0.0049,0.3650,0.9369,1.01
0.951608,0.0083,0.3723,0.9428,1.01
0.973429,0.0159,0.3701,0.9482,1.02
0.994292,0.0112,0.3745,0.9401,1.01
1.015762,0.0093,0.3748,0.9357,1.01
1.037448,0.0115,0.3743,0.9406,1.01
1.058409,0.0093,0.3701,0.9403,1.01
1.079188,0.0198,0.3662,0.9455,1.01
1.100792,0.0095,0.3709,0.9501,1.02
1.122028,0.0110,0.3691,0.9467,1.02
1.143352,0.0154,0.3694,0.9330,1.00
1.165447,0.0227,0.3716,0.9291,1.00
1.191097,0.0215,0.3716,0.9318,1.00
1.211148,0.0122,0.3728,0.9289,1.00
1.231830,0.0217,0.3682,0.9303,1.00
1.253021,0.0320,0.3728,0.9452,1.02
1.273754,0.0340,0.3694,0.9574,1.03
1.294453,0.0271,0.3733,0.9482,1.02
1.315328,0.0344,0.3770,0.9460,1.02
1.337677,0.0450,0.3814,0.9596,1.03
1.358752,0.0472,0.3914,0.9872,1.06
1.379773,0.0584,0.4112,0.9828,1.07
1.401545,0.0982,0.4368,1.0053,1.10
1.424065,0.1305,0.4654,1.1072,1.21
1.445179,0.1358,0.5385,1.2367,1.36
1.466409,0.1248,0.5614,1.2088,1.34
1.487963,0.1612,0.5917,1.1578,1.31
1.509358,0.2333,0.6315,1.1306,1.32
1.530563,0.2399,0.6565,1.0398,1.25
1.552344,0.2094,0.6821,0.9565,1.19
1.573635,0.1903,0.6941,0.9220,1.17
1.594653,0.1940,0.6867,0.8629,1.12
1.616032,0.1722,0.6882,0.8057,1.07
1.637731,0.1549,0.6794,0.7578,1.03
1.659014,0.1327,0.6674,0.7173,0.99
1.664199,0.1383,0.6657,0.7112,0.98
1.664296,0.1410,0.6645,0.7131,0.98
1.680943,0.1524,0.6635,0.7161,0.99
1.704483,0.1774,0.6674,0.7139,0.99
1.731192,0.1473,0.6545,0.6858,0.96
1.757268,0.0628,0.6159,0.6823,0.92
1.784368,0.0164,0.5807,0.6667,0.88
1.805860,0.0276,0.5590,0.6242,0.84
1.827127,0.0826,0.5582,0.5783,0.81
1.847917,0.0948,0.5548,0.4952,0.75
1.869253,0.0542,0.5641,0.4358,0.71
1.890135,0.0122,0.5890,0.4349,0.73
1.911251,-0.0274,0.5771,0.4991,0.76
1.932224,-0.0572,0.5553,0.5199,0.76
1.953805,-0.0606,0.5565,0.5040,0.75
1.974955,-0.1016,0.5900,0.4820,0.77
1.996012,-0.1749,0.6032,0.4732,0.79
2.017284,-0.2785,0.6630,0.5025,0.88
2.038912,-0.3330,0.7442,0.5802,1.00
2.060118,-0.3374,0.7981,0.6665,1.09
2.081336,-0.3130,0.8328,0.6804,1.12
2.103248,-0.2897,0.8497,0.6440,1.10
2.124398,-0.2609,0.8646,0.6127,1.09
2.145698,-0.2467,0.8722,0.6425,1.11
2.167250,-0.2372,0.8446,0.6579,1.10
2.188496,-0.2497,0.8196,0.6621,1.08
2.210767,-0.2441,0.8018,0.6797,1.08
2.234062,-0.2167,0.8118,0.6911,1.09
2.255760,-0.2001,0.8050,0.6616,1.06
2.258277,-0.2499,0.8094,0.6122,1.05
2.262648,-0.2555,0.8062,0.6122,1.04
2.263414,-0.2565,0.8016,0.6166,1.04
2.276854,-0.2563,0.8001,0.6200,1.04
2.279598,-0.2663,0.7962,0.6596,1.07
2.297915,-0.2651,0.7940,0.6657,1.07
2.319575,-0.2387,0.7735,0.7266,1.09
2.340614,-0.1730,0.7486,0.8016,1.11
2.361674,-0.0845,0.7185,0.8289,1.10
2.383413,-0.0291,0.6980,0.7771,1.04
2.405170,0.0379,0.6933,0.7437,1.02
2.426279,0.0892,0.6941,0.7300,1.01
2.447546,0.1290,0.6775,0.7014,0.98
2.469877,0.1466,0.6650,0.7500,1.01
2.491411,0.1244,0.6589,0.7903,1.04
2.513016,0.1437,0.6440,0.7713,1.02
2.534830,0.2487,0.6606,0.7481,1.03
2.555913,0.2446,0.6645,0.6799,0.98
2.576651,0.2326,0.6430,0.6743,0.96
2.597563,0.2301,0.6503,0.7698,1.03
2.619094,0.1945,0.6494,0.7972,1.05
2.640475,0.1884,0.6293,0.7405,0.99
2.661888,0.1857,0.6308,0.6608,0.93
2.683554,0.1683,0.6262,0.6164,0.89
2.688864,0.1466,0.6164,0.5959,0.87
2.688955,0.1488,0.6161,0.5971,0.87
2.705405,0.1471,0.6135,0.5981,0.87
2.728850,0.1468,0.6196,0.6196,0.89
2.731651,0.1488,0.6330,0.6313,0.91
2.749259,0.1483,0.6345,0.6328,0.91
2.770936,0.1295,0.6357,0.6521,0.92
2.792523,0.0784,0.6176,0.7324,0.96
2.813984,0.0335,0.6081,0.7380,0.96
2.836463,-0.0198,0.6044,0.7263,0.95
2.858519,-0.0572,0.5871,0.7398,0.95
2.879937,-0.0657,0.5553,0.7608,0.94
2.904594,-0.0445,0.5399,0.7979,0.96
2.905984,-0.0454,0.5321,0.7781,0.94
2.925163,-0.0457,0.5297,0.7762,0.94
2.946233,-0.0459,0.5084,0.7503,0.91
2.967804,-0.0691,0.4823,0.7466,0.89
2.989263,-0.1075,0.4810,0.7522,0.90
3.010564,-0.1146,0.5162,0.7564,0.92
3.032216,-0.1104,0.4906,0.7627,0.91
3.054278,-0.1559,0.4263,0.8074,0.93
3.076079,-0.2089,0.3836,0.8553,0.96
3.097304,-0.2599,0.3909,0.8365,0.96
3.119539,-0.2753,0.3904,0.7737,0.91
3.141075,-0.3215,0.3650,0.8079,0.94
3.162475,-0.4121,0.3753,0.9169,1.07
3.184079,-0.4647,0.3828,1.0642,1.22
3.205735,-0.3916,0.3669,1.2416,1.35
3.227339,-0.2255,0.3862,1.3583,1.43
3.248764,-0.1478,0.4336,1.3623,1.44
3.271018,-0.1407,0.4427,1.3400,1.42
3.292588,-0.1788,0.4212,1.2760,1.36
3.314210,-0.1835,0.3970,1.2108,1.29
3.335985,-0.1581,0.3865,1.1920,1.26
3.357185,-0.1253,0.3909,1.1732,1.24
3.378372,-0.0581,0.3489,1.1429,1.20
3.399892,-0.0244,0.3276,1.0671,1.12
3.421170,-0.0252,0.3161,1.0156,1.06
3.442541,-0.0142,0.2951,0.9733,1.02
3.463750,-0.0156,0.2817,0.8881,0.93
3.485205,0.0296,0.2551,0.8854,0.92
3.506446,0.0533,0.2560,0.8678,0.91
3.527492,0.0359,0.2382,0.8436,0.88
3.548957,0.0440,0.1869,0.8668,0.89
3.570354,0.2174,0.2590,0.8964,0.96
3.591177,0.5668,0.2912,0.9892,1.18
3.612929,0.2702,0.2702,1.1209,1.18
3.634391,0.1331,0.2690,0.8590,0.91
3.655268,0.1456,0.2216,0.7918,0.84
3.675945,0.0811,0.2328,0.8490,0.88
3.697284,0.1388,0.2802,0.8990,0.95
3.722101,0.1771,0.3042,0.9452,1.01
3.730038,0.1009,0.2841,0.9352,0.98
3.742475,0.0828,0.2963,0.9357,0.98
3.746378,0.0921,0.3083,0.9540,1.01
3.746506,0.0992,0.3068,0.9584,1.01
3.763812,0.1099,0.3083,0.9626,1.02
3.785812,0.1412,0.3115,0.9626,1.02
3.806912,0.1371,0.3122,0.9320,0.99
3.828726,0.1466,0.3120,0.9398,1.00
3.855964,0.1129,0.3210,0.9589,1.02
3.880009,0.0665,0.3125,1.0131,1.06
3.901007,0.0384,0.3039,1.0412,1.09
3.921415,0.0103,0.3156,0.9995,1.05
3.942329,-0.0293,0.3227,0.9538,1.01
3.962950,-0.0586,0.3193,0.9767,1.03
3.983800,-0.0501,0.3191,1.0114,1.06
4.004870,-0.0691,0.3193,1.0105,1.06
4.025331,-0.1131,0.3259,0.9750,1.03
4.047313,-0.1407,0.3305,0.9513,1.02
4.068775,-0.1539,0.3318,0.9311,1.00
4.089891,-0.1534,0.3352,0.9286,1.00
4.110880,-0.1380,0.3320,0.9438,1.01
4.131745,-0.1192,0.3237,0.9589,1.02
4.153064,-0.1200,0.3257,0.9506,1.01
4.174986,-0.1393,0.3305,0.9416,1.01
4.196454,-0.1625,0.3442,0.9750,1.05
4.217911,-0.1119,0.3193,0.9748,1.03
4.238463,-0.0911,0.3359,0.9662,1.03
4.258890,-0.1568,0.3613,0.9616,1.04
4.279732,-0.2103,0.3433,1.0701,1.14
4.300747,-0.0704,0.3064,0.9987,1.05
4.321254,-0.0591,0.2187,0.8893,0.92
4.342468,0.0352,0.2191,0.8013,0.83
4.362863,0.3095,0.3288,0.7979,0.92
4.384463,0.4033,0.2917,0.8946,1.02
4.405018,0.1649,0.2152,0.7781,0.82
4.425702,0.0061,0.3645,1.0840,1.14
4.445955,-0.0899,0.4388,1.0723,1.16
4.466546,-0.0894,0.3804,1.2445,1.30
4.487553,-0.0635,0.4625,1.0034,1.11
4.508116,0.0430,0.4561,0.8900,1.00
4.528641,0.1280,0.3652,1.0657,1.13
4.549554,0.1659,0.2592,1.1983,1.24
4.570600,0.2350,0.2287,1.1663,1.21
4.592617,0.2480,0.2321,1.1238,1.17
4.595483,0.2690,0.2138,1.1123,1.16
4.612692,0.2748,0.2074,1.0986,1.15
4.633140,0.2653,0.2365,1.0803,1.14
4.653561,0.2128,0.2897,1.0371,1.10
4.674096,0.1551,0.3364,1.0312,1.10
4.694124,0.1253,0.3325,0.9860,1.05
4.714656,0.1771,0.3325,0.9308,1.00
4.735557,0.2033,0.3303,0.9017,0.98
4.740889,0.1906,0.3411,0.9091,0.99
4.740984,0.1893,0.3406,0.9096,0.99
4.755951,0.1845,0.3386,0.9113,0.99
4.776522,0.1524,0.3279,0.9027,0.97
4.796957,0.0950,0.3447,0.8903,0.96
4.818285,0.0498,0.3601,0.8851,0.96
4.839405,0.0120,0.3748,0.8617,0.94
4.859519,-0.0029,0.3745,0.8485,0.93
4.880741,0.0635,0.3701,0.8297,0.91
4.902801,0.1258,0.3479,0.8153,0.90
4.929746,0.1671,0.3374,0.7881,0.87
4.931439,0.1305,0.3376,0.8038,0.88
4.949731,0.1261,0.3376,0.8045,0.88
4.952854,0.1058,0.3523,0.8057,0.89
4.955549,0.1058,0.3523,0.8052,0.89
4.956436,0.1060,0.3525,0.8050,0.89
4.959463,0.1063,0.3528,0.8030,0.88
4.960630,0.1051,0.3528,0.8013,0.88
4.963472,0.1068,0.3538,0.8001,0.88
4.964658,0.1090,0.3555,0.7994,0.88
4.971775,0.1109,0.3550,0.7962,0.88
4.975757,0.1202,0.3560,0.7854,0.87
4.976879,0.1195,0.3584,0.7832,0.87
4.980039,0.1197,0.3604,0.7806,0.87
4.981513,0.1202,0.3618,0.7749,0.86
4.991884,0.1217,0.3635,0.7693,0.86
4.996371,0.1275,0.3853,0.7605,0.86
4.997475,0.1290,0.3892,0.7630,0.87
5.012109,0.1302,0.3909,0.7649,0.87
5.032500,0.1287,0.4009,0.7740,0.88
5.034662,0.1158,0.4080,0.7657,0.88
5.037855,0.1134,0.4114,0.7681,0.88
5.038635,0.1119,0.4131,0.7683,0.88
5.041793,0.1107,0.4158,0.7698,0.88
5.042895,0.1094,0.4175,0.7737,0.89
5.045742,0.1070,0.4192,0.7796,0.89
5.046848,0.1058,0.4209,0.7808,0.89
5.055246,0.1033,0.4226,0.7847,0.90
5.058083,0.0916,0.4283,0.7930,0.91
5.062177,0.0889,0.4290,0.7981,0.91
5.063428,0.0880,0.4302,0.8003,0.91
5.075260,0.0870,0.4317,0.8023,0.92
5.078654,0.0958,0.4429,0.8091,0.93
5.079483,0.0989,0.4473,0.8133,0.93
5.095979,0.1011,0.4505,0.8184,0.94
5.116049,0.1092,0.4708,0.8411,0.97
5.136347,0.0999,0.4925,0.8448,0.98
5.156582,0.0867,0.5094,0.8079,0.96
5.176541,0.0344,0.5321,0.8280,0.98
5.196494,-0.0288,0.5387,0.8753,1.03
5.216526,-0.0002,0.5372,0.8944,1.04
5.240485,0.0362,0.5030,0.9428,1.07
5.273082,0.0359,0.4955,0.9711,1.09
5.292224,-0.0684,0.5966,1.0017,1.17
5.295656,-0.2177,0.6762,1.0925,1.30
5.296673,-0.2296,0.6736,1.1006,1.31
5.311779,-0.2377,0.6731,1.1026,1.31
5.332076,-0.3442,0.6765,1.0938,1.33
5.336679,-0.4769,0.7068,0.9980,1.31
5.337902,-0.4840,0.7144,0.9828,1.31
5.340645,-0.4906,0.7234,0.9704,1.31
5.342020,-0.4986,0.7339,0.9587,1.31
5.344594,-0.5018,0.7368,0.9530,1.30
5.346177,-0.5052,0.7405,0.9384,1.30
5.355477,-0.5045,0.7456,0.9267,1.29
5.358161,-0.5028,0.7615,0.8903,1.27
5.361374,-0.5025,0.7581,0.8827,1.27
5.362395,-0.5001,0.7549,0.8815,1.26
5.375136,-0.4933,0.7500,0.8797,1.26
5.377732,-0.4600,0.7002,0.8597,1.20
5.394839,-0.4429,0.6799,0.8477,1.17
5.398859,-0.3015,0.5981,0.8507,1.08
5.414968,-0.2790,0.5822,0.8526,1.07
5.435589,-0.1283,0.4671,0.8666,0.99
5.455681,0.0972,0.3630,0.8722,0.95
5.475800,0.0518,0.3753,0.8942,0.97
5.495384,-0.0555,0.4424,0.9455,1.05
5.515465,-0.1564,0.4402,0.9782,1.08
5.535935,-0.0843,0.4529,0.9704,1.07
5.555788,-0.0452,0.4405,0.9306,1.03
5.575705,-0.0584,0.4432,0.9323,1.03
5.596386,-0.0635,0.4371,0.9816,1.08
5.616579,0.0359,0.3640,0.9907,1.06
5.636647,0.1803,0.3176,0.9394,1.01
5.657595,0.2238,0.3071,0.8646,0.94
5.678549,0.0821,0.3491,0.9000,0.97
5.698837,-0.0322,0.4146,0.9750,1.06
5.720482,-0.0173,0.4449,1.0329,1.12
5.740155,0.0684,0.4317,1.0024,1.09
5.760503,0.1190,0.4451,0.9159,1.03
5.766734,0.0669,0.4886,0.8492,0.98
5.780957,0.0445,0.5011,0.8397,0.98
5.803215,-0.0103,0.5404,0.8062,0.97
5.805356,-0.0105,0.5805,0.7901,0.98
5.808090,-0.0095,0.5827,0.7898,0.98
5.809174,-0.0076,0.5846,0.7894,0.98
5.812652,-0.0027,0.5871,0.7872,0.98
5.813597,0.0007,0.5890,0.7876,0.98
5.824675,0.0066,0.5927,0.7872,0.99
5.828945,0.0366,0.6066,0.7945,1.00
5.829844,0.0432,0.6117,0.7996,1.01
5.845491,0.0493,0.6157,0.8062,1.02
5.867095,0.1280,0.6525,0.8981,1.12
5.891382,0.1837,0.6909,0.9973,1.23
5.912738,0.0557,0.7183,1.0996,1.31
5.934785,-0.0352,0.7173,1.0830,1.30
5.961500,-0.0410,0.6977,0.9907,1.21
5.981039,0.0259,0.6594,0.8993,1.12
6.000771,-0.0049,0.5934,0.8426,1.03
6.019949,0.0213,0.6244,0.8429,1.05
6.039165,0.0437,0.5619,0.8047,0.98
6.058121,0.0816,0.5421,0.8622,1.02
6.077243,0.0298,0.5438,0.8592,1.02
6.096344,0.0381,0.5035,0.7837,0.93
6.115593,0.1048,0.5749,0.7745,0.97
6.135309,0.0721,0.6951,0.6975,0.99
6.154568,-0.0112,0.7569,0.6208,0.98
6.174585,0.0095,0.7090,0.6430,0.96
6.193176,0.1776,0.6100,0.7156,0.96
6.212192,0.1612,0.5121,0.6733,0.86
6.231410,0.0701,0.5626,0.6633,0.87
6.250751,-0.0669,0.5907,0.7437,0.95
6.270283,-0.0862,0.5805,0.8656,1.05
6.290175,-0.0726,0.5836,0.9430,1.11
6.309826,-0.1410,0.5734,1.1128,1.26
6.329230,-0.2084,0.5358,1.1341,1.27
6.348345,-0.1036,0.5377,0.9679,1.11
6.367992,0.0088,0.5426,0.8101,0.98
6.387360,-0.0132,0.5614,0.7422,0.93
6.407601,-0.0535,0.6000,0.7422,0.96
6.426470,-0.0755,0.6315,0.7652,0.99
6.445776,-0.0525,0.6225,0.8358,1.04
6.464464,-0.0349,0.5827,0.9049,1.08
6.484097,-0.0542,0.5643,0.9301,1.09
6.503070,-0.0699,0.5832,0.8651,1.05
6.522380,-0.0239,0.5746,0.7798,0.97
6.541343,0.0726,0.5797,0.5932,0.83
6.560450,0.2201,0.7290,0.4478,0.88
6.579163,0.3652,0.8644,0.5160,1.07
6.599088,0.3347,0.7581,0.6005,1.02
6.619668,0.2199,0.6166,0.6674,0.93
6.621325,0.2443,0.7158,0.6843,1.02
6.639463,0.2277,0.7229,0.6779,1.02
6.641496,0.0880,0.7315,0.5976,0.95
6.644293,0.0752,0.7334,0.5832,0.94
6.658097,0.0550,0.7385,0.5534,0.92
6.660553,0.0020,0.7803,0.4366,0.89
6.664560,-0.0122,0.7974,0.4102,0.90
6.676944,-0.0225,0.8077,0.3946,0.90
6.681386,-0.0784,0.8636,0.3711,0.94
6.695407,-0.0862,0.8702,0.3694,0.95
6.697751,-0.1070,0.8790,0.3723,0.96
6.713842,-0.1068,0.8793,0.3733,0.96
6.733094,-0.0740,0.8685,0.4378,0.98
6.751633,-0.0291,0.8612,0.5133,1.00
6.770509,-0.0621,0.8856,0.4266,0.98
6.789980,-0.0369,0.8409,0.3391,0.91
6.795164,-0.0200,0.9076,0.3137,0.96
6.795322,-0.0161,0.9122,0.3130,0.96
6.808799,-0.0178,0.9161,0.3105,0.97
6.828059,-0.0335,0.9257,0.3076,0.98
6.846890,-0.0332,0.9538,0.2792,0.99
6.866936,-0.0398,0.9665,0.2834,1.01
6.893413,0.0344,0.9545,0.3731,1.03
6.895502,0.1143,0.9323,0.4463,1.04
6.912112,0.1153,0.9271,0.4539,1.04
6.930674,0.0926,0.9230,0.5013,1.05
6.950366,0.0711,0.9389,0.5319,1.08
6.968768,0.0699,0.9396,0.4630,1.05
6.987436,0.1134,0.9447,0.3919,1.03
7.005940,0.1615,0.9472,0.3584,1.03
7.024528,0.1564,0.9398,0.3433,1.01
7.043016,0.1175,0.9247,0.3491,1.00
7.061538,0.0919,0.8898,0.3738,0.97
7.079920,0.1134,0.8705,0.4466,0.98
7.098458,0.1825,0.8512,0.4886,1.00
7.117319,0.2511,0.8177,0.4527,0.97
7.135708,0.3538,0.7928,0.4283,0.97
7.154274,0.4178,0.7891,0.4261,0.99
7.172686,0.4136,0.8077,0.4300,1.00
7.190984,0.3015,0.8321,0.4446,0.99
7.209267,0.1820,0.8722,0.4412,0.99
7.227268,0.0853,0.8956,0.3980,0.98
7.245835,0.0144,0.9347,0.3613,1.00
7.263965,-0.0279,0.9579,0.3308,1.01
7.282046,-0.0293,0.9687,0.3281,1.02
7.301005,-0.0452,0.9516,0.2939,1.00
7.321456,-0.0545,0.9091,0.2213,0.94
7.340125,-0.0408,0.8946,0.2047,0.92
7.364412,-0.0147,0.9108,0.2394,0.94
7.382963,0.0476,0.9039,0.3181,0.96
7.401319,0.0679,0.8695,0.4197,0.97
7.420679,0.0012,0.8871,0.4933,1.01
7.439504,-0.0831,0.9098,0.4620,1.02
7.458170,-0.0406,0.8951,0.3860,0.98
7.475722,0.0445,0.8411,0.3467,0.91
7.493846,-0.0039,0.8507,0.4087,0.94
7.512196,-0.2204,0.9118,0.4713,1.05
7.530089,-0.4363,0.9496,0.4896,1.15
7.548374,-0.5563,0.9584,0.4461,1.19
7.566859,-0.5570,0.9169,0.4043,1.15
7.584688,-0.3604,0.9179,0.4661,1.09
7.602822,-0.1124,0.8900,0.5617,1.06
7.620456,0.0506,0.8267,0.5924,1.02
7.638040,0.1842,0.8143,0.5939,1.02
7.655603,0.2243,0.8350,0.6003,1.05
7.672970,0.2003,0.8343,0.5546,1.02
7.690265,0.1576,0.8148,0.4490,0.94
7.707666,0.1561,0.8050,0.3560,0.89
7.724111,0.1994,0.8619,0.3286,0.94
7.740703,0.2116,0.9188,0.3156,0.99
7.757988,0.2003,0.9354,0.3005,1.00
7.776276,0.1649,0.9179,0.3059,0.98
7.793862,0.1297,0.9328,0.3396,1.00
7.799910,0.0728,0.9599,0.3982,1.04
7.811680,0.0413,0.9667,0.4234,1.06
7.813943,-0.0086,0.9758,0.4845,1.09
7.829822,-0.0134,0.9780,0.4950,1.10
7.848015,-0.0208,0.9804,0.5822,1.14
7.867642,0.0247,0.9643,0.6630,1.17
7.887145,0.1112,0.9320,0.7012,1.17
7.909069,0.1505,0.9066,0.6960,1.15
7.925664,0.1290,0.8998,0.6821,1.14
7.942941,0.0963,0.9066,0.6357,1.11
7.961003,0.0750,0.9064,0.5932,1.09
7.977521,0.0960,0.8807,0.5651,1.05
7.995110,0.1214,0.8612,0.5336,1.02
8.011554,0.1300,0.8453,0.5150,1.00
8.027746,0.1160,0.8404,0.5086,0.99
8.043898,0.0967,0.8507,0.5057,0.99
8.060008,0.0792,0.8458,0.5157,0.99
8.076312,0.0601,0.8240,0.4962,0.96
8.092341,0.0718,0.8055,0.4766,0.94
8.108424,0.0743,0.7898,0.4539,0.91
8.124501,0.0476,0.7627,0.4322,0.88
8.140748,0.0237,0.7429,0.4136,0.85
8.157200,0.0137,0.7334,0.3843,0.83
8.173370,0.0142,0.7139,0.3494,0.79
8.189754,0.0279,0.6990,0.3259,0.77
8.206820,0.0213,0.6999,0.2951,0.76
8.223625,-0.0518,0.7166,0.2690,0.77
8.240578,-0.1234,0.7082,0.2990,0.78
8.259246,-0.0985,0.6977,0.3848,0.80
8.276756,-0.0347,0.7009,0.5367,0.88
8.294111,0.0249,0.7090,0.6323,0.95
8.311010,0.0762,0.6963,0.7740,1.04
8.334842,0.0992,0.6626,0.8612,1.09
8.355829,0.1693,0.6098,0.8956,1.10
8.358138,0.2861,0.5751,0.9279,1.13
8.361775,0.3005,0.5751,0.9198,1.13
8.363144,0.3054,0.5785,0.9132,1.12
8.373770,0.3127,0.5814,0.9044,1.12
8.378381,0.3027,0.6066,0.8477,1.09
8.379397,0.2937,0.6147,0.8333,1.08
8.395610,0.2858,0.6188,0.8194,1.07
8.412649,0.2350,0.6142,0.7481,1.00
8.415593,0.2617,0.5858,0.7576,0.99
8.430549,0.2788,0.5785,0.7774,1.01
8.465779,0.3413,0.5480,0.8504,1.07
8.498808,0.3728,0.4796,0.8849,1.07
8.520607,0.3650,0.3469,0.9535,1.08
8.538379,0.4014,0.2995,1.0444,1.16
8.555180,0.4239,0.3220,1.0346,1.16
8.571989,0.2875,0.3408,0.8932,1.00
8.597740,0.1876,0.3596,0.7852,0.88
8.607579,0.1678,0.4048,0.9523,1.05
8.611980,0.1862,0.3924,1.0642,1.15
8.626863,0.1879,0.3916,1.0730,1.16
8.629620,0.2289,0.3713,1.1306,1.21
8.633115,0.2326,0.3674,1.1272,1.21
8.633552,0.2358,0.3647,1.1241,1.21
8.646004,0.2377,0.3608,1.1199,1.20
8.648887,0.2094,0.3506,1.0400,1.12
8.664855,0.1994,0.3496,1.0151,1.09
8.689103,0.1522,0.3149,0.8443,0.91
8.704850,0.1598,0.2993,0.6994,0.78
8.721589,0.1383,0.2770,0.6718,0.74
8.737845,0.0953,0.2377,0.6797,0.73
8.754100,0.0943,0.1268,0.8052,0.82
8.771201,0.1864,0.0366,0.9538,0.97
8.788625,0.2783,0.0203,1.0195,1.06
8.805198,0.2682,0.0569,1.0659,1.10
8.822999,0.2690,0.1415,1.0977,1.14
8.829700,0.2893,0.2516,1.0657,1.13
8.855786,0.2824,0.2795,1.0329,1.11
8.877421,0.1874,0.3352,0.9389,1.01
8.878943,0.0489,0.3315,0.9951,1.05
8.893916,0.0410,0.3305,1.0092,1.06
8.896950,0.0205,0.3259,1.1258,1.17
8.913175,0.0288,0.3213,1.1565,1.20
8.930146,0.0882,0.3291,1.2088,1.26
8.947041,0.0777,0.3415,1.2699,1.32
8.966069,-0.0139,0.3188,1.2975,1.34
8.982649,-0.1200,0.2348,1.2792,1.31
8.998383,-0.1644,0.1757,1.3066,1.33
9.013510,-0.2003,0.1656,1.1881,1.22
9.028856,-0.1720,0.1932,1.1324,1.16
